木（木材・木片）（直径3センチメートル以上15センチメートル未満）,不燃ごみ,長さ1メートル以内にして束ねる。1度に3束まで。
木（木材・木片）（直径15センチメートル以上20センチメートル未満）,不燃ごみ,長さ80センチメートル以内にして束ねる。1度に3束まで。
木（木材・木片）（直径20センチメートル以上30センチメートル未満）,不燃ごみ,長さ30センチメートル以内にして束ねる。1度に3束まで。
木（木材・木片）（直径30センチメートル以上）,粗大ごみ,
キーボード（楽器）,粗大ごみ,1メートル以上は大型粗大ごみ。
キーボード（パソコン）,小型家電,
キーホルダー（金属製）,不燃ごみ,
キーホルダー（プラスチック製・木製）,燃やすごみ,
ギター（ケースを含む）,粗大ごみ,1メートル以上は大型粗大ごみ。
キックボード・キックスケーター,粗大ごみ,電動式は収集不可。
キッチンストッカー,粗大ごみ,1メートル以上は大型粗大ごみ。
杵（きね）,粗大ごみ,1メートル以上は大型粗大ごみ。
着物（帯を含む）,布類,
脚立,粗大ごみ,1メートル以上は大型粗大ごみ。
キャップ（フタ）（金属製）,家庭金物,
キャップ（フタ）（プラスチック製）,容器包装プラスチック,容器包装プラスチックのマークのないものは燃やすごみ。
キャリーカート,不燃ごみ,50センチメートル以上は粗大ごみ。
キャリーバッグ,粗大ごみ,1メートル以上は大型粗大ごみ。
給湯器,粗大ごみ,1メートル以上は大型粗大ごみ。
牛乳パック（内側が白いもの）,飲料用紙パック,内側が銀色など紙パックマークのないものは燃やすごみ。
教科書（参考書）,雑誌,
鏡台（ドレッサー）,粗大ごみ,1メートル以上は大型粗大ごみ。
霧吹き,燃やすごみ,金属製は家庭金物。
キルト製品,燃やすごみ,
金庫（耐火）,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
金庫（手提げ金庫）,家庭金物,
金属バット,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
品名,種別,留意点等
空気入れ（自転車用）,不燃ごみ,手動ポンプ式で金属製は家庭金物。
空気清浄機,小型家電,50センチメートル以上は粗大ごみ。
